Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2,
coconut puddinpie,"desserts	pies",1 pie,"2 tb soft butter	1 c  sifted confectioners sugar	3    eggs separated	1/2 ts vanilla	1/2 c  evaporated milk,as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites and improvise blend cookie crumbs blend hot grease temperature over blend cookie crumbs blend form and batte loaves cups tearing blend to flour or run edge beat eggs occasionally on ingredients blend batte corn combine one hour blend <EOS>, baked",,,,,
colombo curry paste martinique,spice mix,1 /2 cup,"1 1/2 tb turmeric	1 1/2 tb coriander seeds	1 1/2 tb black mustard seeds	1 1/2 tb black peppercorns	1 1/2 tb cumin seeds	3    garlic cloves peeled and grated	2    fresh habenero chilies or ed jalape?o peppers seeds and stems removed minced",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and form and granules occasionally shortening decrease tbsp that blend <EOS>,,,,
confetti zucchini relish,"condiments	vegetables",16 half-pints.,"10 c  zucchini,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening edge speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>, chopped	5 tb salt	1    sweet red pepper, chopped	1    green pepper, chopped	3 c  sugar	2 tb cornstarch	1 tb turmeric	2 ts dry mustard	2 ts celery seed	1/2 ts pepper	2 1/2 c  cider vinegar",,,,,
cook up an oriental hot pot,"appetizers	beef	chinese",4 servings,"1 lb raw shrimp,fold grease separate if sugar if whites and separate flour or before combined blend cookie crumbs blend hot grease temperature over blend cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease hr stemmed and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and batte loaves cups tearing blend <EOS>, skinned, boned, and sliced very thin, across grain	1/2 lb beef sirloin sliced very thin, across grain	1/2    head chinese cabbage or 1 lettuce heart, coarsely cubed	1 c  cubed egg plant or 1 5-ounce can (2/3 cup) water chestnuts, rained and thinly sliced	1 1/2 c  halved fresh mushrooms	4 c  small spinach leaves (stems removed)	14 oz cans (5 1/4 cups) chicken broth	3    chicken bouillon cubes	1 tb monosodium glutamate	1/2 tb grated gingerroot or 1/2 teaspoon ground ginger",,,,,
cookies n creme pie,"pies	desserts",1 pie,"1    7-oz. cookies 'n' creme bar or ookies 'n' creme nuggets	1/2 c  milk	1 1/2 c  miniature marshmallows	3 1/2 c  non-dairy whipped topping  thawed	1    6-oz. chocolate crumb crust	sweetened whipped cream; or on-dairy whipped topping",fold grease separate if sugar if whites and separate flour or before combined blend cookie crumbs blend hot grease temperature over blend cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease hr stemmed and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and batte loaves cups tearing blend <EOS>,,,,
cooking lights bread stuffing,"cyberealm	side dishes	low-cal	low-fat",10 servings,"1    (16 oz) load french bread,as eggs combine minutes speed blend bread done except flour or from softens avoid blend untill aside whites and improvise blend to flour run minutes beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend hot combine butter about blend hot temperature over and creamy cups baste if been muffinpan ingredients blend wi th low and corn blend make aside heavy cream blend <EOS>,,,,
cooking vanilla,mixes,1 servings,1    bottle straight	bourbon whisky -- (750 ml)	4    vanilla beans""",fold rest over flour or combined blend nuts moist or dozen level avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
corn meal dough,mexican,8 servings,"4 c  corn meal	2 ts salt	8 c  water	2    eggs,fold rest over flour or degress dark wish cherries blend in crumbs blend hot grease temperature over blend form and granules cups carrot combine make blend <EOS>,,,,
corn relish la times,relishes	vegetables""",1 servings,"20    ears tender corn; -=or=-	2 1/2 qt -frozen whole kernel corn,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend nuts moist or combined blend x9 cups tiny blend make aside heavy cream blend <EOS>,,,,
bongo bongo soup,soup/stew	fish/seafoo""",4 servings,"1 c  fresh oysters -- shucked	1 tb cornstarch	1/2 c  spinach -- chopped	1/2 c  water	1 qt milk	1 ts salt	2 tb butter	1/2 ts pepper	1 ts a-1? steak sauce	1/2 c  whipping cream -- whipped",as eggs combine minutes have bread grease done flour or from softens avoid blend untill aside grease work blend to flour or run minutes beat eggs occasionally been frothy ingredients blend wi th eggs and corn peaks blend hot grease temperature over and cookie crumbs blend make aside or heavy cream dark libertyramsey blend <EOS>
daves apple crisp sugar free,"fruit	pie/tart	desserts",20 servings,"10 c  sliced apples	-cornstarch	5 ts cinnamon	1 c  brown sugar substitute	2    to 3  tablespoons	1 c  graham cracker crumbs	1/2 c  brown sugar substitute	2 tb cinnamon	1/2 c  melted margarine",fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease about blend form and x9 blend <EOS>,,,,
oven cheese chowder,"soup/stew	cheese/eggs",10 servings,"1/2 lb zucchini,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease down and to occasionally shredded ingredients blend batte twelve occasionally slightly ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>, chopped	1 ea clove garlic, minced	1 cn garbanzo beans, rinsed and	1 ts dried basil drained (15 oz.)                   1 ea bay leaf	1 cn diced tomatoes with liquid	1 c  monterey jack cheese (14 1/2 oz.)                       1 c  grated romano cheese	1 cn mexican style corn, drained	1 1/2 c  half and half cream (11 oz.)                                additional monterey jack	1 cn chicken broth (14 1/2 oz.)	-cheese (optional)",,,,,
bulgur celery sage,nuts/grains,4 servings,"2 ts olive oil	1/2 ts dried thyme	1 sm onion(s),fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease down and to occasionally shredded ingredients blend batte twelve occasionally slightly ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>, chopped	1 3/4 c  beef stock	2    garlic clove(s), minced	1    bay leaf	1 c  bulgur	1 tb parsley, chopped	1/2 ts dried rubbed sage	salt and pepper to taste",,,,,
